contrast_id,dataset,task,metric,first,second,seed,fold_id,window_length,a,b,delta
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,2,61,16,0.5,0.5,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,3,0,16,0.5453216374269005,0.5196382705479452,0.025683366878955338
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,3,1,16,0.75,0.75,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,3,2,16,0.5,0.5,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,3,3,16,0.75,0.75,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,3,4,16,0.75,0.75,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,3,5,16,1.0,1.0,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,3,6,16,0.75,0.75,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,3,7,16,0.728531997546514,0.7428556848336395,-0.01432368728712552
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,3,8,16,0.5,0.5,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,3,9,16,0.75,0.75,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,3,10,16,0.5,0.5,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,3,11,16,0.5,0.5,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,3,12,16,0.7290528233151183,0.7242161900269026,0.004836633288215708
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,3,13,16,0.7482014388489209,0.75,-0.0017985611510791255
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,3,14,16,0.5,0.5,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,3,15,16,1.0,1.0,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,3,16,16,1.0,1.0,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,3,17,16,0.75,0.75,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,3,18,16,1.0,1.0,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,3,19,16,0.25,0.25,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,3,20,16,0.5,0.5,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,3,21,16,0.5,0.5,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,3,22,16,0.75,0.75,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,3,23,16,0.75,0.75,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,3,24,16,0.75,0.75,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,3,25,16,0.5,0.5,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,3,26,16,0.75,0.75,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,3,27,16,0.75,0.75,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,3,28,16,0.5,0.5,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,3,29,16,0.25,0.25,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,3,30,16,0.75,0.75,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,3,31,16,0.75,0.75,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,3,32,16,0.75,0.75,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,3,33,16,0.5,0.5,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,3,34,16,0.674677693487543,0.6165540540540541,0.05812363943348897
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,3,35,16,1.0,1.0,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,3,36,16,0.5,0.5,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,3,37,16,0.75,0.75,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,3,38,16,0.75,0.75,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,3,39,16,0.25,0.25,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,3,40,16,0.5,0.5,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,3,41,16,0.75,0.75,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,3,42,16,0.4988038277511961,0.4951456310679611,0.003658196683234971
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,3,43,16,0.75,0.75,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,3,44,16,0.75,0.75,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,3,45,16,0.75,0.75,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,3,46,16,0.25,0.25,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,3,47,16,0.25,0.25,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,3,48,16,0.75,0.75,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,3,49,16,0.75,0.75,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,3,50,16,0.5,0.5,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,3,51,16,0.5,0.5,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,3,52,16,0.5,0.5,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,3,53,16,0.5,0.5,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,3,54,16,0.5,0.5,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,3,55,16,0.5,0.5,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,3,56,16,0.75,0.75,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,3,57,16,0.5,0.5,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,3,58,16,0.5,0.5,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,3,59,16,0.25,0.25,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,3,60,16,0.5,0.5,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,3,61,16,0.75,0.75,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,4,0,16,0.75,0.75,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,4,1,16,0.75,0.75,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,4,2,16,0.75,0.75,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,4,3,16,0.75,0.75,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,4,4,16,0.75,0.75,0.0
R0_vs_R2,d3_rainbow_trout,classification,macro_f1,R0,R2,4,5,16,0.75,0.75,0.0
