legacy_fingerprint,dataset,model,task,seed,fold_id,window_length,reservoir_size,normalization,input_mapping,topology_variant,rewire_seed,v1_5_identity_id,n_ok_records_on_this_substrate,n_scored_on_this_substrate,n_config_hashes_on_this_substrate,config_hashes,experiments,n_substrates_sharing_this_fingerprint,classification
54c73a04dd5a590f,d2_beef_uncontrolled,R0,regression,0,0,16,500,n1_pre_l1,,R0_real_fly,,1653203010ac6dc6,1,1,1,5ef9f26a4c53,e9_size_d2_n500,5,single_scored_evaluation
5761d003c47321d8,d2_beef_uncontrolled,R4,regression,0,1,16,1000,,,R4_er_esn,,f1af3393e5f11605,1,1,1,aeaa183639c5,e9_size_d2_n1000,5,single_scored_evaluation
5761d003c47321d8,d2_beef_uncontrolled,R4,regression,0,1,16,2000,,,R4_er_esn,,a5a7e2335365d68b,1,1,1,45dea923f5eb,e9_size_d2_n2000,5,single_scored_evaluation
5761d003c47321d8,d2_beef_uncontrolled,R4,regression,0,1,16,250,,,R4_er_esn,,663c2a224adfd2ce,2,2,2,2b681f4040fc|e2dbcef1dad6,e9_size_d2|e9_size_d2_n250,5,true_repeat_different_config
5761d003c47321d8,d2_beef_uncontrolled,R4,regression,0,1,16,4000,,,R4_er_esn,,c29ed2218b919c54,1,1,1,e2526bc8a3c8,e9_size_d2_n4000,5,single_scored_evaluation
5761d003c47321d8,d2_beef_uncontrolled,R4,regression,0,1,16,500,,,R4_er_esn,,d641b93d1af20ff2,1,1,1,5ef9f26a4c53,e9_size_d2_n500,5,single_scored_evaluation
5ba0d94a9b099471,d2_beef_uncontrolled,R5,regression,0,3,16,1000,,,R5_small_world,,b1e2f5ea95d75303,1,1,1,aeaa183639c5,e9_size_d2_n1000,5,single_scored_evaluation
5ba0d94a9b099471,d2_beef_uncontrolled,R5,regression,0,3,16,2000,,,R5_small_world,,01171217af07709d,1,1,1,45dea923f5eb,e9_size_d2_n2000,5,single_scored_evaluation
5ba0d94a9b099471,d2_beef_uncontrolled,R5,regression,0,3,16,250,,,R5_small_world,,0a4dce64c3bced00,2,2,2,2b681f4040fc|e2dbcef1dad6,e9_size_d2|e9_size_d2_n250,5,true_repeat_different_config
5ba0d94a9b099471,d2_beef_uncontrolled,R5,regression,0,3,16,4000,,,R5_small_world,,647172b9a232ba66,1,1,1,e2526bc8a3c8,e9_size_d2_n4000,5,single_scored_evaluation
5ba0d94a9b099471,d2_beef_uncontrolled,R5,regression,0,3,16,500,,,R5_small_world,,29376871cb2234ca,1,1,1,5ef9f26a4c53,e9_size_d2_n500,5,single_scored_evaluation
5c46e09b207c8bb6,d2_beef_uncontrolled,R6,regression,0,0,16,1000,,,R6_dense_random,,a3afc278efd73929,1,1,1,aeaa183639c5,e9_size_d2_n1000,5,single_scored_evaluation
5c46e09b207c8bb6,d2_beef_uncontrolled,R6,regression,0,0,16,2000,,,R6_dense_random,,b23b4aef8a9b8299,1,1,1,45dea923f5eb,e9_size_d2_n2000,5,single_scored_evaluation
5c46e09b207c8bb6,d2_beef_uncontrolled,R6,regression,0,0,16,250,,,R6_dense_random,,467bb4556699eb8f,2,2,2,2b681f4040fc|e2dbcef1dad6,e9_size_d2|e9_size_d2_n250,5,true_repeat_different_config
5c46e09b207c8bb6,d2_beef_uncontrolled,R6,regression,0,0,16,4000,,,R6_dense_random,,56fc2b7271a01e9f,1,1,1,e2526bc8a3c8,e9_size_d2_n4000,5,single_scored_evaluation
5c46e09b207c8bb6,d2_beef_uncontrolled,R6,regression,0,0,16,500,,,R6_dense_random,,bc312fe5ea780d1d,1,1,1,5ef9f26a4c53,e9_size_d2_n500,5,single_scored_evaluation
5c4bfe30d0640e38,d2_beef_uncontrolled,R5,regression,0,0,16,1000,,,R5_small_world,,91de7b36ad14f5f5,1,1,1,aeaa183639c5,e9_size_d2_n1000,5,single_scored_evaluation
5c4bfe30d0640e38,d2_beef_uncontrolled,R5,regression,0,0,16,2000,,,R5_small_world,,3784e94feb80d896,1,1,1,45dea923f5eb,e9_size_d2_n2000,5,single_scored_evaluation
5c4bfe30d0640e38,d2_beef_uncontrolled,R5,regression,0,0,16,250,,,R5_small_world,,07e38c6e890617f6,2,2,2,2b681f4040fc|e2dbcef1dad6,e9_size_d2|e9_size_d2_n250,5,true_repeat_different_config
5c4bfe30d0640e38,d2_beef_uncontrolled,R5,regression,0,0,16,4000,,,R5_small_world,,ad0bd239740f8ec5,1,1,1,e2526bc8a3c8,e9_size_d2_n4000,5,single_scored_evaluation
5c4bfe30d0640e38,d2_beef_uncontrolled,R5,regression,0,0,16,500,,,R5_small_world,,4dd8cdb5728d17cd,1,1,1,5ef9f26a4c53,e9_size_d2_n500,5,single_scored_evaluation
5faddcd1dd636ea8,d2_beef_uncontrolled,R5,classification,0,3,16,1000,,,R5_small_world,,4d4cd9daea488df5,1,1,1,aeaa183639c5,e9_size_d2_n1000,5,single_scored_evaluation
5faddcd1dd636ea8,d2_beef_uncontrolled,R5,classification,0,3,16,2000,,,R5_small_world,,7e3d34dcf7064e5a,1,1,1,45dea923f5eb,e9_size_d2_n2000,5,single_scored_evaluation
5faddcd1dd636ea8,d2_beef_uncontrolled,R5,classification,0,3,16,250,,,R5_small_world,,19dce9803de35f20,2,2,2,2b681f4040fc|e2dbcef1dad6,e9_size_d2|e9_size_d2_n250,5,true_repeat_different_config
5faddcd1dd636ea8,d2_beef_uncontrolled,R5,classification,0,3,16,4000,,,R5_small_world,,06cd145331eaf279,1,1,1,e2526bc8a3c8,e9_size_d2_n4000,5,single_scored_evaluation
5faddcd1dd636ea8,d2_beef_uncontrolled,R5,classification,0,3,16,500,,,R5_small_world,,16907ef83785acbd,1,1,1,5ef9f26a4c53,e9_size_d2_n500,5,single_scored_evaluation
6ebb4ec62fad6f95,d2_beef_uncontrolled,R6,regression,0,4,16,1000,,,R6_dense_random,,289f3e6fb8f7ad41,1,1,1,aeaa183639c5,e9_size_d2_n1000,5,single_scored_evaluation
6ebb4ec62fad6f95,d2_beef_uncontrolled,R6,regression,0,4,16,2000,,,R6_dense_random,,a82724b678e28eca,1,1,1,45dea923f5eb,e9_size_d2_n2000,5,single_scored_evaluation
6ebb4ec62fad6f95,d2_beef_uncontrolled,R6,regression,0,4,16,250,,,R6_dense_random,,7dda2b50dd34b484,2,2,2,2b681f4040fc|e2dbcef1dad6,e9_size_d2|e9_size_d2_n250,5,true_repeat_different_config
6ebb4ec62fad6f95,d2_beef_uncontrolled,R6,regression,0,4,16,4000,,,R6_dense_random,,0bd56807ce2baeb2,1,1,1,e2526bc8a3c8,e9_size_d2_n4000,5,single_scored_evaluation
6ebb4ec62fad6f95,d2_beef_uncontrolled,R6,regression,0,4,16,500,,,R6_dense_random,,4139ce079fa6f4d5,1,1,1,5ef9f26a4c53,e9_size_d2_n500,5,single_scored_evaluation
